"Year","Montgomery.AL","Mobile.AL","Phoenix.AZ","Flagstaff.AZ","Fort.Smith.AR","Sacramento.CA","Los.Angeles.CA","Fresno.CA","Eureka.CA","Grand.Junction.CO","Denver.CO","Colorado.Springs.CO","Tampa.FL","Pensacola.FL","Jacksonville.FL","Washington.DC.DC","Savannah.GA","Augusta.GA","Atlanta.GA","Boise.ID","Springfield..IL","Moline.IL","Chicago.IL","Indianapolis.IN","Evansville.IN","Cedar.Rapids.IA","Dubuque.IA","Des.Moines.IA","Topeka.KS","Dodge.City.KS","Concordia.KS","Louisville.KY","Shreveport.LA","Portland.ME","Baltimore.MD","Boston.MA","Sault.Ste.Marie.MI","Marquette.MI","Lansing.MI","Grand.Rapids.MI","Detroit.MI","Minneapolis.MN","Duluth.MN","Meridian.MS","Springfield.MO","Kansas.City.MO","Helena.MT","Havre.MT","Valentine.NE","Omaha.NE","North.Platte.NE","Winnemucca.NV","Concord.NH","Roswell.NM","Albuquerque.NM","Rochester.NY","New.York.NY","Albany.NY","Raleigh.NC","Charlotte.NC","Williston.ND","Fargo.ND","Bismarck.ND","Columbus.OH","Oklahoma.OK","Pittsburgh.PA","Philadelphia.PA","Middletown.Harrisburg.PA","Erie.PA","Columbia.SC","Sioux.Falls.SD","Huron.SD","Nashville.TN","Memphis.TN","Chattanooga.TN","San.Antonio.TX","Houston.TX","Dallas.Fort.Worth.TX","Corpus.Christi.TX","Amarillo.TX","Abilene.TX","Salt.Lake.City.UT","Norfolk.VA","Lynchburg.VA","Spokane.WA","Seattle.WA","Eau.Claire.WI","Milwaukee.WI","Madison.WI","La.Crosse.WI","Green.Bay.WI","Lander.WY","Cheyenne.WY"
1934,0.863,0.618,0.089,0.332,1.173,-0.178,0.3,0.906,0.203,0.105,0.95,0.674,0.573,0.016,0.366,0.121,0.874,1.392,0.514,0.933,1.088,1.112,NA,0.821,1.259,0.691,1.382,1.302,1.165,0.941,1.005,0.269,1.131,0.705,1.276,0.703,0.266,0.428,0.555,0.977,0.722,1.064,0.211,0.751,1.088,1.011,1.305,1.404,1.25,1.626,1.94,0.668,0.351,-0.017,-0.58,0.823,0.16,1.295,1.187,0.899,0.778,1.18,1.559,0.796,1.033,0.868,1.342,0.37,0.686,0.763,1.054,1.672,0.799,NA,1.09,0.927,0.397,0.845,0.299,1.42,0.91,-0.439,0.745,1.246,1.567,0.631,NA,1.254,0.899,0.564,0.562,0.212,0.221
1935,0.767,0.545,0.05,0.309,1.065,-0.143,0.27,0.884,0.079,0.306,0.962,0.686,0.534,-0.059,0.394,0.103,0.883,1.265,0.36,0.675,1.083,1.051,0.667,0.781,1.17,0.662,1.404,1.257,1.212,0.958,0.995,0.183,1.08,0.555,1.229,0.426,0.302,0.455,0.511,0.994,0.646,1.065,0.151,0.743,1.083,1.054,1.061,1.255,1.188,1.57,1.938,0.567,0.342,0.019,-0.713,0.814,0.125,1.284,1.103,0.778,0.631,1.084,1.43,0.798,0.977,0.842,1.197,0.338,0.67,0.64,1.139,1.666,0.666,NA,1.094,0.847,0.374,0.624,0.416,1.526,0.887,-0.564,0.673,1.174,1.3,0.625,NA,1.272,0.906,0.587,0.619,0.168,0.205
1936,0.92,0.623,0.247,0.396,1.225,-0.09,0.279,0.887,-0.045,0.35,1.079,0.781,0.616,0.039,0.456,0.281,0.996,1.307,0.478,0.581,1.306,1.205,0.809,0.951,1.307,0.662,1.499,1.273,1.409,1.086,1.046,0.359,1.143,0.334,1.394,0.5,0.435,0.596,0.616,1.203,0.769,1.06,0.183,0.855,1.306,1.252,0.842,1.016,1.041,1.484,1.867,0.595,0.588,0.146,-0.679,1.064,0.34,1.561,1.171,0.813,0.423,0.94,1.262,1.02,1.188,0.859,1.326,0.5,0.898,0.663,1.141,1.502,0.767,NA,1.358,0.758,0.306,0.673,0.312,1.691,1.001,-0.733,0.748,1.24,1.144,0.545,NA,1.399,1.037,0.682,0.764,0.248,0.275
1937,0.71,0.436,0.299,0.341,1.098,-0.043,0.299,0.987,-0.026,0.412,1.079,0.735,0.503,-0.133,0.374,0.299,0.922,1.155,0.314,0.608,1.236,1.054,0.649,0.805,1.2,0.543,1.404,1.113,1.416,1.086,1.052,0.246,0.974,0.351,1.431,0.439,0.569,0.652,0.502,1.181,0.627,1.106,0.281,0.672,1.236,1.191,0.953,1.275,1.09,1.34,1.865,0.57,0.702,0.006,-0.824,1.064,0.446,1.663,1.15,0.664,0.711,0.936,1.382,0.969,1.098,0.679,1.303,0.53,0.871,0.539,1.175,1.537,0.596,NA,1.3,0.513,0.054,0.481,0.127,1.598,0.842,-0.846,0.779,1.154,1.144,0.671,NA,1.342,0.971,0.686,0.826,0.235,0.286
1938,0.927,0.57,0.283,0.377,1.395,-0.04,0.345,0.975,-0.058,0.465,1.286,0.934,0.596,0,0.536,0.457,1.149,1.296,0.55,0.722,1.591,1.174,0.909,1.126,1.505,0.777,1.614,1.343,1.707,1.386,1.261,0.563,1.231,0.45,1.58,0.419,0.815,0.866,0.786,1.44,0.788,1.21,0.461,0.921,1.591,1.468,0.994,1.316,1.249,1.501,2.124,0.61,0.928,0.101,-0.818,1.238,0.615,1.641,1.345,0.842,0.87,0.974,1.485,1.282,1.295,0.827,1.365,0.655,1.064,0.726,1.449,1.671,0.843,NA,1.645,0.622,0.218,0.627,0.325,1.85,1.024,-0.718,0.946,NA,1.273,0.829,NA,1.573,1.152,0.861,1.088,0.536,0.46
1939,1.05,0.632,0.351,0.475,1.737,0.16,0.418,1.059,0.034,0.804,1.703,1.267,0.557,0.045,0.618,0.586,1.346,1.391,0.689,1.028,2.086,1.451,1.26,1.495,1.781,1.2,2.133,1.79,2.235,1.821,1.723,0.813,1.514,0.708,1.722,0.28,0.929,1.067,1.086,1.8,0.959,1.555,0.765,1.046,2.086,1.938,1.394,1.803,1.707,1.939,2.507,0.832,0.985,0.347,-0.632,1.327,0.669,1.431,1.53,1.055,1.349,1.3,1.888,1.593,1.675,0.922,1.356,0.795,1.241,0.918,2.031,2.136,1.052,0.954,1.91,0.79,0.385,0.862,0.44,2.203,1.286,-0.472,1.074,NA,1.626,1.148,NA,1.979,1.671,1.345,1.533,0.963,0.82
1940,0.89,0.47,0.56,0.785,1.516,0.418,0.426,1.187,0.22,1.176,1.826,1.39,0.464,-0.037,0.558,0.31,1.32,1.226,0.511,1.306,2,1.13,1.033,1.356,1.53,0.977,2.001,1.478,2.08,1.722,1.547,0.617,1.337,1.046,1.413,-0.106,0.729,0.923,0.92,1.616,0.636,1.286,0.68,0.883,2,1.705,1.48,1.731,1.713,1.615,2.559,1.26,0.822,0.395,-0.365,1.052,0.405,0.895,1.413,0.929,1.356,1.147,1.813,1.378,1.518,0.569,0.89,0.509,0.997,0.805,1.94,1.998,0.846,NA,1.671,0.811,0.387,0.671,0.493,2.22,1.215,-0.027,0.889,NA,1.903,1.574,2.149,1.784,1.493,1.183,1.364,1.158,1.008
1941,0.859,0.468,0.343,0.715,1.468,0.41,0.174,0.964,0.435,1.208,1.739,1.29,0.474,-0.003,0.544,0.253,1.334,1.191,0.474,1.286,1.884,0.79,0.84,1.295,1.265,0.776,1.821,1.219,1.991,1.581,1.377,0.552,1.311,1.184,1.32,-0.28,0.448,0.69,0.822,1.296,0.459,0.961,0.402,0.885,1.884,1.547,1.274,1.619,1.555,1.334,2.427,1.264,0.653,0.378,-0.36,0.746,0.317,0.582,1.345,0.908,1.061,0.877,1.599,1.309,1.374,0.337,0.561,0.404,0.876,0.806,1.74,1.818,0.787,NA,1.452,0.797,0.43,0.576,0.568,2.02,1.183,0.134,0.841,NA,1.942,1.821,1.73,1.466,1.291,0.95,1.159,1.075,0.937
1942,0.715,0.331,0.343,0.945,1.383,0.39,0.172,0.841,0.616,1.369,1.715,1.377,0.347,-0.099,0.408,0.254,1.259,1.042,0.411,1.232,1.892,0.812,0.8,1.326,1.045,0.803,1.886,1.227,2.1,1.617,1.493,0.505,1.196,1.251,1.295,-0.446,0.317,0.725,0.814,1.078,0.389,1.054,0.523,0.799,1.892,1.576,1.06,1.655,1.583,1.396,2.446,1.435,0.549,0.505,-0.145,0.62,0.211,0.361,1.237,0.841,1.151,0.972,1.654,1.295,1.383,0.159,0.287,0.348,0.86,0.734,1.858,1.889,0.682,NA,1.211,0.753,0.396,0.558,0.68,1.895,1.297,0.287,0.822,NA,1.888,2.039,1.648,1.271,1.315,1.047,1.159,1.09,0.975
1943,0.518,0.118,0.443,1.217,1.243,0.508,0.351,0.814,0.832,1.671,1.607,1.315,0.194,-0.248,0.268,0.228,1.116,0.841,0.303,1.15,1.585,0.541,0.522,0.915,0.652,0.578,1.644,0.835,1.839,1.366,1.195,0.327,0.963,1.335,1.226,-0.547,0.075,0.668,0.573,0.652,0.107,0.772,0.541,0.634,1.585,1.251,0.616,1.587,1.346,1.049,2.293,1.633,0.32,0.512,0.151,0.285,0.159,-0.018,1.027,0.761,1,0.827,1.422,1.111,1.214,-0.14,0.009,0.279,0.635,0.549,1.736,1.556,0.51,NA,0.893,0.349,0.132,0.332,0.431,1.549,1.129,0.458,0.673,NA,1.711,2.15,1.3,0.923,1.06,0.809,0.939,0.972,0.885
1944,0.556,0.174,-0.002,0.943,1.112,0.257,-0.016,0.52,0.618,1.226,1.19,0.887,0.213,-0.175,0.255,0.316,1.135,0.867,0.373,0.55,1.511,0.418,0.459,0.766,0.472,0.496,1.505,0.52,1.591,0.889,0.804,0.346,0.792,1.078,1.284,-0.352,0.298,0.912,0.6,0.486,0.229,0.705,0.704,0.576,1.511,0.972,0.046,1.296,0.855,0.665,1.845,1.057,0.286,0.215,-0.061,0.268,0.314,-0.068,0.939,0.822,0.78,0.773,1.069,1.137,1.035,-0.221,-0.097,0.338,0.732,0.572,1.513,1.16,0.481,NA,0.697,0.029,0.109,0.123,0.323,1.058,0.82,-0.133,0.718,NA,1.288,1.991,1.184,0.798,0.98,0.76,1.009,0.212,0.459
1945,0.584,0.228,-0.079,1.064,1.059,0.314,-0.068,0.498,0.661,1.084,1.099,NA,0.28,-0.063,0.325,0.453,1.147,0.938,0.429,0.577,1.468,0.346,0.409,0.594,0.242,0.46,1.446,0.38,1.508,0.711,0.704,0.319,0.705,1.18,1.423,-0.146,0.275,0.947,0.639,0.322,0.308,0.54,0.751,0.515,1.468,0.855,0.065,1.348,0.769,0.562,1.745,1.075,0.286,0.284,0.127,0.218,0.417,-0.19,0.944,0.92,0.778,0.738,0.956,1.138,0.988,-0.268,-0.079,0.395,0.827,0.665,1.247,0.984,0.449,NA,0.483,-0.003,0.155,0.098,0.317,0.891,0.742,-0.269,0.883,NA,1.312,1.818,0.985,0.681,0.961,0.695,0.977,-0.007,0.357
1946,0.592,0.3,-0.285,1.128,1.053,0.054,-0.26,0.22,0.55,0.973,1.153,NA,0.391,0.051,0.478,0.634,1.183,1.036,0.488,0.419,1.674,0.455,0.655,0.647,0.2,0.75,1.74,NA,1.69,0.833,0.867,0.371,0.708,1.161,1.624,0.053,0.504,1.249,0.937,0.382,0.597,0.783,1.047,0.544,1.674,1.046,0.178,1.572,1.033,0.863,1.921,0.96,0.235,0.432,0.313,0.312,0.615,-0.273,0.914,1.047,1.025,0.941,1.126,1.324,1.091,-0.004,-0.02,0.545,1.102,0.791,1.214,1.165,0.572,NA,0.343,0.082,0.363,0.168,0.503,0.902,0.845,-0.287,0.942,NA,1.247,1.506,1.274,0.825,1.251,0.977,1.206,0.108,0.372
1947,0.542,0.308,-0.255,1.302,1.028,0.042,-0.207,0.135,0.647,0.878,1.192,NA,0.397,0.126,0.494,0.649,1.048,0.958,0.422,0.362,1.797,0.505,0.708,0.56,0.023,0.931,1.879,NA,1.791,0.786,0.954,0.314,0.604,1.344,1.598,0.062,0.421,1.268,0.967,0.235,0.647,0.882,1.146,0.451,1.797,1.192,0.244,1.736,1.074,1.011,1.999,1.126,0.046,0.339,0.467,0.251,0.549,-0.569,0.713,1.047,1.089,1.104,1.198,1.333,1.179,0.051,-0.135,0.534,1.147,0.774,1.131,1.217,0.53,NA,0.121,-0.033,0.372,0.144,0.426,NA,0.776,-0.262,0.816,NA,1.314,1.382,1.41,0.765,1.305,1.107,1.225,0.217,0.397
1948,0.41,0.231,-0.291,1.311,0.648,-0.095,-0.374,-0.006,0.533,0.635,1.092,NA,0.539,0.174,0.588,0.547,0.92,0.875,0.351,0.013,1.36,0.213,0.459,0.231,-0.369,0.703,1.696,NA,1.309,0.389,0.638,0.11,0.351,1.155,1.491,0.021,0.303,1.184,0.8,-0.111,0.494,0.79,0.922,0.283,1.36,0.893,-0.023,1.616,0.865,0.733,1.658,1.008,-0.29,0.189,0.548,0.022,0.432,-0.844,0.509,0.969,0.878,0.895,0.912,1.049,0.919,-0.02,-0.336,0.385,1.047,0.652,0.67,0.947,0.378,NA,-0.127,-0.187,0.331,-0.066,0.296,NA,0.587,-0.401,0.61,0.752,0.782,0.909,1.374,0.523,1.106,1.005,1.023,0.085,0.24
1949,0.363,0.254,-0.367,1.201,0.41,-0.301,-0.576,-0.175,0.431,0.355,0.929,NA,0.651,0.348,0.674,0.668,0.85,0.893,0.378,-0.301,1.118,0.156,0.418,0.08,-0.551,0.605,1.578,NA,0.865,0.024,0.307,0.114,0.176,0.965,1.591,0.398,0.451,1.352,0.889,-0.21,0.614,0.804,0.828,0.298,1.118,0.676,-0.553,1.272,0.588,0.464,1.238,0.697,-0.131,0.017,0.593,0.16,0.657,-0.545,0.418,0.867,0.647,0.742,0.642,1.004,NA,0.124,-0.212,0.442,1.238,0.633,0.317,0.719,0.315,NA,-0.252,-0.368,0.324,-0.304,0.294,NA,0.258,-0.558,0.551,0.643,0.329,0.519,1.345,0.375,0.942,0.966,0.947,-0.175,0.041
1950,0.484,0.42,-0.386,1.078,0.458,-0.374,-0.693,-0.292,0.219,0.105,0.806,NA,0.835,0.626,0.943,0.883,0.89,1.006,0.615,-0.511,0.866,0.076,0.384,-0.089,-0.586,0.473,1.435,NA,0.707,-0.06,NA,0.12,0.333,0.659,1.655,0.683,0.322,1.176,0.916,-0.38,0.713,0.571,0.337,0.514,0.866,0.643,-1.03,0.817,0.244,0.319,0.915,0.445,-0.084,0.166,0.852,0.252,0.834,-0.36,0.449,0.941,0.098,0.291,0.108,0.935,NA,0.282,0.007,0.532,1.405,0.773,-0.081,0.29,0.372,NA,-0.055,-0.298,0.597,-0.152,0.594,NA,0.314,-0.781,0.621,0.613,-0.243,-0.135,0.984,0.231,0.819,0.813,0.613,-0.326,-0.108
1951,0.456,0.395,-0.265,1.036,0.244,-0.486,-0.737,-0.375,-0.116,-0.155,0.482,NA,0.867,0.732,0.996,0.868,0.716,0.851,0.581,-0.699,0.326,-0.338,0.035,-0.548,-0.793,-0.023,0.68,NA,0.226,-0.355,NA,-0.137,0.308,0.439,1.376,0.778,0.12,0.801,0.647,-0.614,0.506,0.022,-0.219,0.566,0.326,0.254,-1.52,0.164,-0.285,-0.193,0.412,0.208,-0.108,0.272,1.019,0.232,0.838,-0.401,0.328,0.794,-0.513,-0.275,-0.619,0.64,NA,0.271,0.071,0.385,1.345,0.7,-0.728,-0.386,0.202,NA,-0.011,-0.278,0.664,-0.087,0.636,NA,0.369,-0.892,0.488,0.347,-0.619,-0.679,0.295,-0.159,0.317,0.226,0.018,-0.453,-0.418
1952,0.473,0.465,-0.243,0.758,0.22,-0.432,-0.73,-0.405,-0.314,-0.274,0.527,NA,0.832,0.9,1.078,0.895,0.583,0.756,0.685,-0.618,0.237,-0.252,0.175,-0.613,-0.66,0.036,0.498,NA,0.168,-0.292,NA,-0.052,0.33,0.419,1.21,0.948,0.218,0.877,0.735,-0.508,0.619,-0.005,-0.248,0.635,0.237,0.332,-1.483,0.1,-0.266,-0.196,0.295,0.08,-0.02,0.307,1.036,0.364,1.005,-0.346,0.249,0.72,-0.487,-0.295,-0.656,0.606,NA,0.381,0.229,0.423,1.456,0.676,-0.772,-0.416,0.318,NA,0.159,-0.277,0.735,0.112,0.602,NA,0.474,-0.759,0.383,0.201,-0.621,-1.056,0.133,-0.009,0.361,0.209,-0.071,-0.24,-0.32
1953,0.459,0.537,-0.367,0.478,0.173,-0.435,-0.691,-0.558,-0.377,-0.496,0.459,NA,0.875,1.017,1.207,1.095,0.493,0.7,0.719,-0.557,0.401,0.038,0.59,-0.286,-0.402,0.325,0.548,NA,0.346,-0.113,NA,0.117,0.367,0.514,1.221,1.315,0.609,1.209,1.146,-0.083,0.99,0.302,-0.098,0.655,0.401,0.673,-0.949,0.374,-0.103,0.094,0.241,-0.156,0.389,0.325,1.053,0.76,1.337,0.051,0.321,0.764,-0.185,-0.022,-0.337,0.76,NA,0.61,0.543,0.623,1.76,0.736,-0.641,-0.223,0.462,NA,0.346,-0.113,0.894,0.22,0.833,NA,0.505,-0.657,0.476,0.197,-0.416,-1.258,0.183,0.37,0.688,0.435,0.123,-0.074,-0.274
1954,0.466,0.521,-0.123,0.508,0.283,-0.45,-0.421,-0.635,-0.383,-0.369,0.734,NA,0.72,1.056,1.267,1.168,0.34,0.603,0.817,-0.407,0.41,0.125,0.809,-0.134,-0.254,0.354,0.401,NA,0.523,0.282,NA,0.17,0.517,0.375,1.053,1.365,0.495,1.122,1.254,-0.011,0.992,0.251,-0.285,0.734,0.41,0.99,-0.829,0.367,0.238,0.348,0.381,-0.043,0.445,0.578,1.484,0.792,1.362,0.092,0.358,0.808,-0.186,-0.065,-0.259,0.702,NA,0.585,0.696,0.654,1.625,0.771,-0.603,-0.115,0.569,NA,0.471,0.242,1.01,0.465,1.049,NA,0.764,-0.322,0.461,0.166,-0.622,-1.67,-0.137,0.495,0.715,0.376,-0.069,0.634,0.091
1955,0.382,0.469,-0.186,0.214,0.352,-0.505,-0.36,-0.834,-0.569,-0.501,0.669,NA,0.527,1.086,1.201,1.153,0.101,0.4,0.822,-0.603,0.467,0.297,1.132,0.033,-0.091,0.448,0.358,NA,0.566,0.392,NA,0.302,0.538,0.093,0.83,1.409,0.727,1.336,NA,0.24,1.245,0.443,-0.276,0.723,0.467,1.192,-1.177,0.123,0.286,0.481,0.203,-0.361,0.503,0.481,1.495,0.947,1.422,0.184,0.295,0.787,-0.167,0.011,-0.217,0.77,NA,0.592,0.781,0.711,1.622,0.671,-0.505,0.004,0.655,NA,0.512,0.329,1.028,0.626,1.076,NA,0.891,-0.417,0.309,0.114,-1.034,-1.963,-0.169,0.738,0.88,0.51,-0.024,0.817,0.153
1956,0.262,0.334,-0.294,-0.019,0.296,-0.424,-0.212,-0.957,-0.605,-0.518,0.545,NA,0.3,1.055,1.075,0.97,-0.078,0.207,0.853,-0.669,0.168,0.138,1.127,-0.07,-0.154,0.241,-0.032,0.01,0.31,0.339,NA,0.21,0.555,0.031,0.487,1.292,0.554,1.192,NA,0.103,1.079,0.321,-0.502,0.687,0.168,1.086,-1.318,0.024,0.056,0.348,-0.098,-0.568,0.363,0.392,1.559,0.705,1.228,-0.029,0.235,0.727,-0.262,-0.079,-0.409,0.59,NA,0.32,0.645,0.556,1.244,0.596,-0.629,-0.168,0.621,NA,0.494,0.446,1.116,0.784,1.083,NA,0.921,-0.47,0.255,0.057,-1.174,-2.001,-0.609,0.65,0.692,0.235,-0.352,0.722,0.151
1957,0.357,0.328,-0.382,-0.199,0.338,-0.387,-0.046,-1.104,-0.63,-0.643,0.47,NA,0.286,1.2,1.165,1.11,-0.093,0.221,1.059,-0.769,0.043,0.111,1.261,0.052,-0.005,0.17,-0.282,-0.004,0.101,0.308,NA,0.354,0.6,-0.123,0.373,1.412,0.521,1.204,NA,0.119,1.137,0.332,-0.665,0.826,0.043,1.084,-1.461,0.014,-0.031,0.325,-0.314,-0.827,0.497,0.542,1.604,0.702,1.389,0.079,0.363,0.858,-0.19,0.011,-0.395,0.624,NA,0.305,0.743,0.639,1.105,0.675,-0.588,-0.126,0.745,0.24,0.643,0.541,1.287,0.87,1.276,0.693,0.875,-0.463,0.42,0.193,-1.362,-2.075,-0.88,0.62,0.702,0.177,-0.514,0.72,0.156
1958,0.19,0.088,-0.184,-0.176,0.278,-0.02,0.362,-0.975,-0.293,-0.289,0.476,0.648,0.014,1.048,0.83,1.007,-0.392,-0.07,0.906,-0.388,-0.061,0.006,1.264,-0.134,-0.184,0.05,-0.636,-0.112,0.058,0.324,NA,0.189,0.41,0.303,0.008,1.34,0.399,1.197,NA,0.041,1.087,0.354,-0.658,0.653,-0.061,1.073,-1.196,0.151,-0.114,0.301,-0.464,-0.681,0.493,0.683,1.748,0.529,1.242,0.023,0.118,0.65,0.015,0.216,-0.27,0.447,NA,-0.047,0.607,0.537,0.781,0.477,-0.493,-0.05,0.512,0.104,0.401,0.391,1.213,0.81,1.207,0.686,0.673,-0.16,0.294,-0.007,-0.849,-1.598,-1.19,0.475,0.613,0.046,-0.681,0.937,0.325
1959,0.095,-0.132,-0.055,-0.094,0.209,0.259,0.758,-0.869,-0.176,-0.063,0.34,0.671,-0.077,0.883,0.664,0.992,-0.61,-0.291,0.837,-0.361,-0.092,-0.12,1.215,-0.26,-0.261,-0.108,-1.071,-0.2,0.01,0.36,NA,0.172,0.232,0.353,-0.285,1.157,0.234,1.02,NA,-0.098,0.976,0.31,-0.773,0.473,-0.092,1.1,-1.094,0.144,-0.179,0.256,-0.503,-0.664,0.39,0.816,1.803,0.362,1.094,-0.113,-0.037,0.603,0.046,0.314,-0.231,0.356,0.156,-0.288,0.46,0.492,0.519,0.343,-0.519,-0.099,0.416,0.025,0.238,0.305,1.071,0.786,0.989,0.681,0.655,0,0.271,-0.068,-0.851,-1.533,-1.535,0.259,0.431,-0.262,-0.984,1.028,0.374
1960,-0.013,-0.295,-0.221,-0.218,0.171,0.255,0.941,-0.926,-0.195,-0.029,0.249,0.56,-0.157,0.714,0.468,0.931,-0.821,-0.501,0.718,-0.353,-0.035,-0.061,1.411,-0.308,-0.308,-0.166,-1.195,-0.094,-0.023,0.322,0.476,0.052,0.037,0.397,-0.442,1.162,0.477,1.242,NA,0.017,1.048,0.497,-0.362,0.262,-0.035,1.186,-0.835,0.59,-0.043,0.337,-0.499,-0.772,0.41,0.548,1.606,0.315,1.127,-0.063,-0.238,0.526,0.582,0.681,0.302,0.373,0.033,-0.498,0.304,0.52,0.421,0.208,-0.302,0.03,0.298,-0.04,0.027,0.159,0.84,0.722,0.637,0.426,0.563,0.029,0.246,-0.142,-0.771,-1.361,-1.222,0.257,0.454,-0.093,-0.752,1.077,0.521
1961,-0.244,-0.432,-0.303,-0.182,0.104,0.322,1.113,-0.933,-0.108,0.101,0.304,0.554,-0.164,0.553,0.393,0.842,-0.902,-0.593,0.502,-0.137,0.083,0.152,1.646,-0.291,-0.255,0.003,-0.953,0.084,-0.014,0.428,0.667,-0.052,-0.172,0.511,-0.545,1.043,0.617,1.47,NA,0.173,1.148,0.707,0.013,0.001,0.083,1.232,-0.246,1.151,0.271,0.563,-0.349,-0.715,0.434,0.31,1.432,0.308,1.135,-0.078,-0.381,0.422,1.268,1.172,0.969,0.367,-0.101,-0.732,0.029,0.494,0.297,0.118,0.026,0.3,0.204,-0.145,-0.075,0.096,0.719,0.542,0.474,0.394,0.298,0.221,0.207,-0.197,-0.64,-1.152,-0.908,0.426,0.612,0.224,-0.45,1.207,0.737
1962,-0.202,-0.385,-0.363,-0.045,0.106,0.298,1.078,-0.934,-0.024,0.205,0.195,0.59,-0.218,0.414,0.296,0.668,-1.006,-0.657,0.265,-0.152,-0.046,-0.049,1.517,-0.474,-0.391,-0.234,-1.145,-0.024,-0.159,0.4,0.552,-0.304,-0.169,0.471,-0.771,0.781,0.458,1.211,NA,0.067,0.972,0.385,-0.271,-0.042,-0.046,1.131,-0.08,1.183,0.204,0.513,-0.361,-0.716,0.237,0.179,1.362,0.046,0.904,-0.276,-0.585,0.308,1.214,1.148,1.036,0.068,-0.225,-1.078,-0.349,0.278,-0.011,0.04,0.01,0.119,0.035,-0.214,-0.13,0.248,0.941,0.407,0.527,0.447,0.207,0.178,-0.07,-0.417,-0.747,-1.065,-1.013,0.131,0.333,0.079,-0.539,1.222,0.765
1963,-0.357,-0.484,-0.367,0.025,0.061,0.17,1.126,-0.94,0.083,0.215,0.08,0.761,-0.384,0.181,0.058,0.355,-1.195,-0.853,-0.028,-0.062,-0.373,-0.32,1.22,-0.891,-0.746,-0.456,-1.353,-0.283,-0.3,0.39,0.394,-0.674,-0.241,0.427,-1.144,0.529,0.187,0.997,NA,-0.218,0.718,0.131,-0.304,-0.263,-0.373,1.035,-0.269,1.017,0.181,0.372,-0.376,-0.708,-0.039,0.033,1.307,-0.342,0.56,-0.671,-0.961,0.069,1.174,1.137,0.974,-0.335,-0.314,-1.549,-0.837,-0.044,-0.435,-0.19,0.054,0.139,-0.294,-0.464,-0.362,0.223,0.977,0.395,0.368,0.355,0.195,-0.055,-0.437,-0.7,-0.887,-0.962,-1.079,-0.312,-0.075,-0.076,-0.784,1.13,0.842
1964,-0.551,-0.621,-0.795,-0.205,-0.161,0.22,1.001,-0.954,-0.005,-0.013,-0.3,0.478,-0.364,-0.055,-0.057,0.332,-1.28,-0.898,-0.284,-0.349,-0.48,-0.354,1.095,-0.997,-0.926,-0.452,-1.406,-0.51,-0.572,0.172,0.077,-0.876,-0.405,0.448,-1.168,0.402,0.249,1.065,NA,-0.207,0.817,0.071,-0.305,-0.476,-0.48,0.834,-0.307,0.798,-0.051,0.176,-0.63,-0.846,-0.066,-0.289,0.815,-0.307,0.528,-0.677,-1.085,-0.094,1.022,1.124,0.771,-0.468,-0.55,-1.61,-1.002,-0.154,-0.384,-0.315,0.023,0.086,-0.473,-0.705,-0.503,-0.027,0.899,0.184,0.152,0.1,0.106,-0.498,-0.555,-0.818,-1.033,-0.915,-0.984,-0.427,-0.175,-0.039,-0.725,0.804,0.485
1965,-0.636,-0.569,-0.884,-0.14,-0.181,0.326,1.065,-0.89,0.144,0.283,-0.352,0.398,-0.344,-0.202,-0.103,0.305,-1.294,-0.89,-0.459,-0.116,-0.511,-0.443,0.903,-0.993,-1.007,-0.503,-1.532,-0.668,-0.638,0.173,-0.041,-0.97,-0.398,0.787,-1.239,0.223,-0.032,0.795,NA,-0.4,0.637,-0.211,-0.502,-0.557,-0.511,0.823,0.039,0.699,-0.109,0.105,-0.625,-0.646,-0.234,-0.277,0.723,-0.477,0.479,-0.805,-1.132,-0.209,0.866,0.866,0.625,-0.578,-0.361,-1.746,-1.248,-0.212,-0.532,-0.34,-0.25,-0.154,-0.517,-0.702,-0.646,-0.173,0.999,0.14,0.082,0.144,0.154,-0.402,-0.662,-0.911,-0.752,-0.455,-1.121,-0.664,-0.454,-0.321,-0.799,0.856,0.507
1966,-0.788,-0.596,-0.806,-0.104,-0.425,0.62,1.195,-0.711,0.211,0.373,-0.448,0.32,-0.414,-0.437,-0.305,0.365,-1.49,-1.159,-0.852,0.032,-0.726,-0.603,0.734,-1.076,-1.256,-0.773,-1.662,-0.89,-0.836,-0.071,-0.312,-1.165,-0.597,0.972,-1.358,0.311,0.072,0.862,NA,-0.401,0.506,-0.378,-0.547,-0.781,-0.726,0.672,0.286,0.41,-0.24,-0.057,-0.827,-0.487,-0.046,-0.426,0.469,-0.358,0.638,-0.755,-1.254,-0.504,0.726,0.699,0.501,-0.836,-0.496,-1.824,-1.359,-0.109,-0.53,-0.614,-0.364,-0.24,-0.776,-0.972,-0.991,-0.531,0.781,-0.19,-0.103,-0.039,-0.105,-0.31,-0.947,-1.08,-0.618,-0.246,-1.114,-0.861,-0.753,-0.337,-0.757,0.919,0.604
